index	sentence1	sentence2	label
0	城镇[MASK]工基本医疗保险制度的覆盖[MASK]围是什[MASK]？	本市行政区域内的各级党政群机关、事业单位、城镇各类企业和民办非企业单位（统称用人单位），均属我市[MASK][MASK]医疗保险制度的覆盖范围。	0
1	城镇职工[MASK]本医疗保险制度[MASK]覆盖范围[MASK][MASK]么[MASK]	本市行政区域内的各级党政群机关、事业单位、城镇各类企业和民办非企业单位（统称用人单位），均属我市城镇职工[MASK][MASK]医疗保险制度的覆盖范围。	0
2	城镇职工基本医疗保险制度的覆盖范围是什[MASK][MASK]	本市行政区域内的各级党政群机关、事业单位、城镇各类企业和民办非企业单位（统称用人单位），均属我市城镇职工基本医疗保险制度的覆盖范围。	0
3	城镇职[MASK]基本医疗保险制度的覆盖范围是[MASK]么？	本市行政区域内的各级党政群机关、事业单位、城镇各类企业和民办非企业单位（统称用人单位），均属我市城镇职工基本医疗保险制度的覆盖范围。	0
4	城镇职工[MASK][MASK]医疗保险制度的覆盖范围[MASK]什[MASK]？	本市行政区域内的各级党政群机关、事业单位、城镇各类企业和民办非企业单位（统称用人单位），均属我市城镇职工基本医疗保险制度的覆盖范围。	0
5	[MASK]镇职工基本医疗保险制度的覆盖范围[MASK]什么[MASK]	本市行政区域内的各级党政群机关、事业单位、城镇各类企业和民办非企业单位（统称用人单位），均属我市城镇职工[MASK][MASK]医疗保险制度的覆盖范围。	0
6	城镇职工基本医[MASK]保险制度的覆盖范围是[MASK][MASK][MASK]	本市行政区域内的各级党政群机关、事业单位、城镇各类企业和民办非企业单位（统称用人单位），均属我市基本医疗保险制度的覆盖范围。	0
7	城镇职工基本医疗保险制度的[MASK][MASK]范围[MASK]什[MASK]？	本市行政区域内的各级党政群机关、事业单位、城镇各类企业和民办非企业单位（统称用人单位），均属我市城镇职工基本医疗保险制度的。	0
8	城镇职工基本医疗保[MASK][MASK]度的覆[MASK]范围是[MASK][MASK]？	本市行政区域内的各级党政群机关、事业单位、城镇各类企业和民办非企业单位（统称用人单位），均属我市城镇职工基本制度的覆盖范围。	0
9	城镇职工基本[MASK][MASK]保险制度的覆[MASK]范[MASK]是什么？	本市行政区域内的各级党政群机关、事业单位、城镇各类企业和民办非企业单位（统称用人单位），均属我市城镇职工基本制度的覆盖范围。	0
10	城镇职工基本医[MASK][MASK]险制度的覆[MASK]范围[MASK][MASK]么？	本市行政区域内的各级党政群机关、事业单位、城镇各类企业和民办非企业单位（统称用人单位），均属我市城镇职工基本医疗保险制度的覆盖范围。	0
11	城镇[MASK][MASK]基本医疗保险制度的覆盖范围是[MASK]么[MASK]	本市行政区域内的各级党政群机关、事业单位、城镇各类企业和民办非企业单位（统称用人单位），均属我市[MASK][MASK][MASK][MASK]基本医疗保险制度的覆盖范围。	0
12	城镇[MASK][MASK]基本医疗保[MASK][MASK][MASK]的覆盖范围[MASK]什[MASK]？	本市行政区域内的各级党政群机关、事业单位、城镇各类企业和民办非企业单位（统称用人单位），均属我市基本医疗保险的覆盖范围。	0
13	城镇职工基[MASK]医疗保险制度的覆盖范围[MASK][MASK]么[MASK]	本市行政区域内的各级党政群机关、事业单位、城镇各类企业和民办非企业单位（统称用人单位），均属我市城镇职工医疗保险制度的覆盖范围。	0
14	城镇职工基本医疗保险制度的覆盖[MASK]围是什么？	本市行政区域内的各级党政群机关、事业单位、城镇各类企业和民办非企业单位（统称用人单位），均属我市城镇职工基本医疗保险制度的覆盖范围。	0
15	城镇职工[MASK]本医疗保险制度的覆盖范[MASK]是[MASK]么？	本市行政区域内的各级党政群机关、事业单位、城镇各类企业和民办非企业单位（统称用人单位），均属我市城镇职工基本医疗保险制度的。	0
16	城[MASK]职工基本医疗保险制度的[MASK]盖范围[MASK][MASK]么？	本市行政区域内的各级党政群机关、事业单位、城镇各类企业和民办非企业单位（统称用人单位），均属我市城镇职工基本医疗保险制度的覆盖范围。	0
17	[MASK]镇职工基本医疗保险制度的覆盖范围是什[MASK][MASK]	本市行政区域内的各级党政群机关、事业单位、城镇各类企业和民办非企业单位（统称用人单位），均属我市城镇职工基本医疗保险制度的覆盖范围。	0
18	城镇职[MASK]基本医疗保险[MASK]度[MASK]覆盖范围是什[MASK][MASK]	本市行政区域内的各级党政群机关、事业单位、城镇各类企业和民办非企业单位（统称用人单位），均属我市[MASK][MASK][MASK][MASK]基本医疗保险制度的覆盖范围。	0
19	城镇职工基本医疗保险制度的覆盖范围是[MASK]么[MASK]	本市行政区域内的各级党政群机关、事业单位、城镇各类企业和民办非企业单位（统称用人单位），均属我市城镇职工基本医疗保险制度的覆盖范围。	0
20	城镇职工基本医疗保险制度[MASK][MASK]盖范围[MASK][MASK][MASK]？	本市行政区域内的各级党政群机关、事业单位、城镇各类企业和民办非企业单位（统称用人单位），均属我市城镇职工基本医疗保险制度的覆盖范围。	0
21	城镇职工[MASK]本医疗保险制度的[MASK]盖[MASK]围是[MASK]么[MASK]	本市行政区域内的各级党政群机关、事业单位、城镇各类企业和民办非企业单位（统称用人单位），均属我市城镇职工基本医疗保险制度的覆盖范围。	0
22	城镇职工基[MASK]医疗保险制度的覆盖范围是[MASK][MASK]？	本市行政区域内的各级党政群机关、事业单位、城镇各类企业和民办非企业单位（统称用人单位），均属我市城镇职工基本医疗保险制度的覆盖范围。	0
23	城镇职工[MASK][MASK]医疗保险制度的[MASK]盖[MASK]围[MASK][MASK]么？	本市行政区域内的各级党政群机关、事业单位、城镇各类企业和民办非企业单位（统称用人单位），均属我市基本医疗保险制度的。	0
24	城镇职工基本[MASK]疗保险制度的覆盖范围是什么[MASK]	本市行政区域内的各级党政群机关、事业单位、城镇各类企业和民办非企业单位（统称用人单位），均属我市城镇职工基本医疗保险制度的覆盖范围。	0
25	城镇职[MASK][MASK]本医疗保险制度的覆盖范围是什[MASK]？	本市行政区域内的各级党政群机关、事业单位、城镇各类企业和民办非企业单位（统称用人单位），均属我市城镇职工基本医疗保险制度的覆盖范围。	0
26	[MASK]镇职工基[MASK]医疗保[MASK]制度的覆盖范围[MASK][MASK]么？	本市行政区域内的各级党政群机关、事业单位、城镇各类企业和民办非企业单位（统称用人单位），均属我市城镇职工基本医疗保险制度的覆盖范围。	0
27	城镇职工基本医疗保险制度的[MASK][MASK]范围是什么[MASK]	本市行政区域内的各级党政群机关、事业单位、城镇各类企业和民办非企业单位（统称用人单位），均属我市城镇职工基本医疗保险制度的覆盖范围。	0
28	城镇职工基本[MASK]疗保[MASK]制度的[MASK][MASK]范围[MASK]什么[MASK]	本市行政区域内的各级党政群机关、事业单位、城镇各类企业和民办非企业单位（统称用人单位），均属我市城镇职工基本制度的[MASK][MASK][MASK][MASK]。	0
29	城[MASK]职工基本医疗保险制度的覆盖范围是[MASK]么？	本市行政区域内的各级党政群机关、事业单位、城镇各类企业和民办非企业单位（统称用人单位），均属我市城镇职工基本医疗保险制度的覆盖范围。	0
30	城镇职工基本医疗保险制度的覆盖[MASK]围是[MASK]么？	本市行政区域内的各级党政群机关、事业单位、城镇各类企业和民办非企业单位（统称用人单位），均属我市城镇职工基本医疗保险制度的。	0
